bird_name,bird_name_raw,dataset_part,folder,nb_images
dark_sided_flycatcher,Dark-sided Flycatcher,part_6,0. Dark-sided Flycatcher,821
dark_throated_oriole,Dark-throated Oriole,part_6,0. Dark-throated Oriole,209
dark_throated_seedeater,Dark-throated Seedeater,part_6,0. Dark-throated Seedeater,201
dark_winged_miner,Dark-winged Miner,part_6,0. Dark-winged Miner,70
dark_winged_trumpeter,Dark-winged Trumpeter,part_6,0. Dark-winged Trumpeter,68
dartford_warbler,Dartford Warbler,part_6,0. Dartford Warbler,2183
darwins_nothura,Darwin's Nothura,part_6,0. Darwin's Nothura,64
daurian_jackdaw,Daurian Jackdaw,part_6,0. Daurian Jackdaw,287
daurian_partridge,Daurian Partridge,part_6,0. Daurian Partridge,162
daurian_redstart,Daurian Redstart,part_6,0. Daurian Redstart,2713
daurian_starling,Daurian Starling,part_6,0. Daurian Starling,246
davids_fulvetta,David's Fulvetta,part_6,0. David's Fulvetta,32
davisons_leaf_warbler,Davison's Leaf Warbler,part_6,0. Davison's Leaf Warbler,47
dead_sea_sparrow,Dead Sea Sparrow,part_6,0. Dead Sea Sparrow,220
delta_amacuro_softtail,Delta Amacuro Softtail,part_6,0. Delta Amacuro Softtail,4
demoiselle_crane,Demoiselle Crane,part_6,0. Demoiselle Crane,2479
denhams_bustard,Denham's Bustard,part_6,0. Denham's Bustard,253
des_murss_wiretail,Des Murs's Wiretail,part_6,0. Des Murs's Wiretail,82
desert_cisticola,Desert Cisticola,part_6,0. Desert Cisticola,142
desert_finch,Desert Finch,part_6,0. Desert Finch,320
desert_lark,Desert Lark,part_6,0. Desert Lark,713
desert_owl,Desert Owl,part_6,0. Desert Owl,54
desert_sparrow,Desert Sparrow,part_6,0. Desert Sparrow,337
desert_wheatear,Desert Wheatear,part_6,0. Desert Wheatear,2171
diademed_sandpiper_plover,Diademed Sandpiper-Plover,part_6,0. Diademed Sandpiper-Plover,488
diademed_tanager,Diademed Tanager,part_6,0. Diademed Tanager,454
diademed_tapaculo,Diademed Tapaculo,part_6,0. Diademed Tapaculo,13
diamantina_tapaculo,Diamantina Tapaculo,part_6,0. Diamantina Tapaculo,24
diamond_dove,Diamond Dove,part_6,0. Diamond Dove,990
diamond_firetail,Diamond Firetail,part_6,0. Diamond Firetail,651
diards_trogon,Diard's Trogon,part_6,0. Diard's Trogon,198
dickinsons_kestrel,Dickinson's Kestrel,part_6,0. Dickinson's Kestrel,133
dieffenbachs_rail,Dieffenbach's Rail,part_6,0. Dieffenbach's Rail,8
dimorphic_dwarf_kingfisher,Dimorphic Dwarf Kingfisher,part_6,0. Dimorphic Dwarf Kingfisher,25
dimorphic_fantail,Dimorphic Fantail,part_6,0. Dimorphic Fantail,11
dinellis_doradito,Dinelli's Doradito,part_6,0. Dinelli's Doradito,44
dodo,Dodo,part_6,0. Dodo,437
dohertys_bushshrike,Doherty's Bushshrike,part_6,0. Doherty's Bushshrike,31
dohrns_thrush_babbler,Dohrn's Thrush-Babbler,part_6,0. Dohrn's Thrush-Babbler,17
dolphin_gull,Dolphin Gull,part_6,0. Dolphin Gull,979
donaldson_smiths_nightjar,Donaldson Smith's Nightjar,part_6,0. Donaldson Smith's Nightjar,42
donaldson_smiths_sparrow_weaver,Donaldson Smith's Sparrow-Weaver,part_6,0. Donaldson Smith's Sparrow-Weaver,81
dorbignys_chat_tyrant,D'Orbigny's Chat-Tyrant,part_6,0. D'Orbigny's Chat-Tyrant,158
dorias_goshawk,Doria's Goshawk,part_6,0. Doria's Goshawk,7
dorsts_cisticola,Dorst's Cisticola,part_6,0. Dorst's Cisticola,16
dot_backed_antbird,Dot-backed Antbird,part_6,0. Dot-backed Antbird,108
dot_eared_coquette,Dot-eared Coquette,part_6,0. Dot-eared Coquette,29
dot_fronted_woodpecker,Dot-fronted Woodpecker,part_6,0. Dot-fronted Woodpecker,48
dotted_tanager,Dotted Tanager,part_6,0. Dotted Tanager,58
dot_winged_antwren,Dot-winged Antwren,part_6,0. Dot-winged Antwren,314
dot_winged_crake,Dot-winged Crake,part_6,0. Dot-winged Crake,51
double_banded_courser,Double-banded Courser,part_6,0. Double-banded Courser,672
double_banded_graytail,Double-banded Graytail,part_6,0. Double-banded Graytail,41
double_banded_plover,Double-banded Plover,part_6,0. Double-banded Plover,1578
double_banded_pygmy_tyrant,Double-banded Pygmy Tyrant,part_6,0. Double-banded Pygmy Tyrant,53
double_banded_sandgrouse,Double-banded Sandgrouse,part_6,0. Double-banded Sandgrouse,539
double_barred_finch,Double-barred Finch,part_6,0. Double-barred Finch,1731
double_collared_seedeater,Double-collared Seedeater,part_6,0. Double-collared Seedeater,1650
double_crested_cormorant,Double-crested Cormorant,part_6,0. Double-crested Cormorant,2701
double_eyed_fig_parrot,Double-eyed Fig Parrot,part_6,0. Double-eyed Fig Parrot,405
double_striped_thick_knee,Double-striped Thick-knee,part_6,0. Double-striped Thick-knee,1119
double_toothed_barbet,Double-toothed Barbet,part_6,0. Double-toothed Barbet,291
double_toothed_kite,Double-toothed Kite,part_6,0. Double-toothed Kite,849
downy_woodpecker,Downy Woodpecker,part_6,0. Downy Woodpecker,1578
drab_hemispingus,Drab Hemispingus,part_6,0. Drab Hemispingus,37
drab_seedeater,Drab Seedeater,part_6,0. Drab Seedeater,63
drab_swiftlet,Drab Swiftlet,part_6,0. Drab Swiftlet,24
drab_water_tyrant,Drab Water Tyrant,part_6,0. Drab Water Tyrant,221
drab_whistler,Drab Whistler,part_6,0. Drab Whistler,52
drakensberg_prinia,Drakensberg Prinia,part_6,0. Drakensberg Prinia,83
drakensberg_rockjumper,Drakensberg Rockjumper,part_6,0. Drakensberg Rockjumper,239
drakensberg_siskin,Drakensberg Siskin,part_6,0. Drakensberg Siskin,88
drongo_fantail,Drongo Fantail,part_6,0. Drongo Fantail,20
duboiss_seedeater,Dubois's Seedeater,part_6,0. Dubois's Seedeater,87
duchess_lorikeet,Duchess Lorikeet,part_6,0. Duchess Lorikeet,16
dugands_antwren,Dugand's Antwren,part_6,0. Dugand's Antwren,20
duida_grass_finch,Duida Grass Finch,part_6,0. Duida Grass Finch,1
duida_woodcreeper,Duida Woodcreeper,part_6,0. Duida Woodcreeper,28
dulit_frogmouth,Dulit Frogmouth,part_6,0. Dulit Frogmouth,41
dull_blue_flycatcher,Dull-blue Flycatcher,part_6,0. Dull-blue Flycatcher,123
dull_colored_grassquit,Dull-colored Grassquit,part_6,0. Dull-colored Grassquit,175
dull_mantled_antbird,Dull-mantled Antbird,part_6,0. Dull-mantled Antbird,73
dune_lark,Dune Lark,part_6,0. Dune Lark,159
dunlin,Dunlin,part_6,0. Dunlin,2802
dunnock,Dunnock,part_6,0. Dunnock,2624
dunns_lark,Dunn's Lark,part_6,0. Dunn's Lark,115
duponts_lark,Dupont's Lark,part_6,0. Dupont's Lark,154
dusky_antbird,Dusky Antbird,part_6,0. Dusky Antbird,171
dusky_babbler,Dusky Babbler,part_6,0. Dusky Babbler,13
dusky_broadbill,Dusky Broadbill,part_6,0. Dusky Broadbill,332
dusky_crag_martin,Dusky Crag Martin,part_6,0. Dusky Crag Martin,279
dusky_crested_flycatcher,Dusky Crested Flycatcher,part_6,0. Dusky Crested Flycatcher,11
dusky_crimsonwing,Dusky Crimsonwing,part_6,0. Dusky Crimsonwing,39
dusky_eagle_owl,Dusky Eagle-Owl,part_6,0. Dusky Eagle-Owl,190
dusky_fulvetta,Dusky Fulvetta,part_6,0. Dusky Fulvetta,198
dusky_grasswren,Dusky Grasswren,part_6,0. Dusky Grasswren,165
dusky_grouse,Dusky Grouse,part_6,0. Dusky Grouse,1433
dusky_hummingbird,Dusky Hummingbird,part_6,0. Dusky Hummingbird,102
dusky_lark,Dusky Lark,part_6,0. Dusky Lark,114
dusky_long_tailed_cuckoo,Dusky Long-tailed Cuckoo,part_6,0. Dusky Long-tailed Cuckoo,20
